year,month,season,date,site,site_number,rep,microsite,mass_g
2019,July,summer,06-Jul-19,Mojave,M1,19,open,0.1117
2019,July,summer,06-Jul-19,Mojave,M1,20,ephedra,0.6141
2019,July,summer,06-Jul-19,Mojave,M1,20,larrea,2.5858
2019,July,summer,06-Jul-19,Mojave,M1,20,open,2.9508
2019,July,summer,06-Jul-19,Mojave,M1,21,ephedra,1.2349
2019,July,summer,06-Jul-19,Mojave,M1,21,larrea,1.8758
2019,July,summer,07-Jul-19,Mojave,M1,21,open,2.2011
2019,July,summer,06-Jul-19,Mojave,M1,22,open,0.7843
2019,July,summer,07-Jul-19,Mojave,M1,22,ephedra,0.7263
2019,July,summer,07-Jul-19,Mojave,M1,22,larrea,0
2019,July,summer,06-Jul-19,Mojave,M1,23,ephedra,0.071
2019,July,summer,06-Jul-19,Mojave,M1,23,larrea,1.9347
2019,July,summer,06-Jul-19,Mojave,M1,23,open,0
2019,July,summer,06-Jul-19,Mojave,M1,24,ephedra,2.1408
2019,July,summer,06-Jul-19,Mojave,M1,24,larrea,1.4506
2019,July,summer,06-Jul-19,Mojave,M1,24,open,1.3611
2019,July,summer,06-Jul-19,Mojave,M1,25,ephedra,1.1267
2019,July,summer,06-Jul-19,Mojave,M1,25,larrea,0.1722
2019,July,summer,06-Jul-19,Mojave,M1,25,open,0.9924
2019,July,summer,07-Jul-19,Mojave,M1,26,ephedra,0
2019,July,summer,07-Jul-19,Mojave,M1,26,larrea,1.229
2019,July,summer,07-Jul-19,Mojave,M1,26,open,0.9276
2019,July,summer,06-Jul-19,Mojave,M1,27,ephedra,2.1819
2019,July,summer,06-Jul-19,Mojave,M1,27,larrea,1.2824
2019,July,summer,06-Jul-19,Mojave,M1,27,open,0.1353
2019,July,summer,06-Jul-19,Mojave,M1,28,ephedra,1.3746
2019,July,summer,06-Jul-19,Mojave,M1,28,larrea,1.3898
2019,July,summer,06-Jul-19,Mojave,M1,28,open,0
2019,July,summer,06-Jul-19,Mojave,M1,29,ephedra,4.7343
2019,July,summer,06-Jul-19,Mojave,M1,29,larrea,1.1369
2019,July,summer,06-Jul-19,Mojave,M1,29,open,0
2019,July,summer,07-Jul-19,Mojave,M1,30,ephedra,0
2019,July,summer,07-Jul-19,Mojave,M1,30,larrea,2.2264
2019,July,summer,07-Jul-19,Mojave,M1,30,open,9.976
2019,July,summer,06-Jul-19,Mojave,M2,1,larrea,2.0139
2019,July,summer,06-Jul-19,Mojave,M2,1,open,0.0849
2019,July,summer,07-Jul-19,Mojave,M2,1,ephedra,0.185
2019,July,summer,07-Jul-19,Mojave,M2,2,ephedra,0.9947
2019,July,summer,07-Jul-19,Mojave,M2,2,larrea,1.1659
2019,July,summer,07-Jul-19,Mojave,M2,2,open,2.75
2019,July,summer,06-Jul-19,Mojave,M2,3,larrea,3.601
2019,July,summer,06-Jul-19,Mojave,M2,3,open,0
2019,July,summer,07-Jul-19,Mojave,M2,3,ephedra,2.3849
2019,July,summer,06-Jul-19,Mojave,M2,4,larrea,0.6842
2019,July,summer,06-Jul-19,Mojave,M2,4,open,0.1435
2019,July,summer,07-Jul-19,Mojave,M2,4,ephedra,1.5931
2019,July,summer,06-Jul-19,Mojave,M2,5,larrea,0.8517
2019,July,summer,06-Jul-19,Mojave,M2,5,open,0.3618
2019,July,summer,07-Jul-19,Mojave,M2,5,ephedra,1.7682
2019,July,summer,07-Jul-19,Mojave,M2,6,ephedra,1.3521
2019,July,summer,07-Jul-19,Mojave,M2,6,larrea,0.2227
2019,July,summer,07-Jul-19,Mojave,M2,6,open,0.0637
2019,July,summer,06-Jul-19,Mojave,M2,7,larrea,0.2513
2019,July,summer,06-Jul-19,Mojave,M2,7,open,0.636
2019,July,summer,07-Jul-19,Mojave,M2,7,ephedra,4.0722
2019,July,summer,06-Jul-19,Mojave,M2,8,larrea,0.6816
2019,July,summer,06-Jul-19,Mojave,M2,8,open,0
2019,July,summer,07-Jul-19,Mojave,M2,8,ephedra,1.118
2019,July,summer,06-Jul-19,Mojave,M2,9,larrea,0
2019,July,summer,06-Jul-19,Mojave,M2,9,open,0
2019,July,summer,07-Jul-19,Mojave,M2,9,ephedra,5.4802
2019,July,summer,07-Jul-19,Mojave,M2,10,ephedra,0.9115
2019,July,summer,07-Jul-19,Mojave,M2,10,larrea,1.1214
2019,July,summer,07-Jul-19,Mojave,M2,10,open,0
2019,July,summer,06-Jul-19,Mojave,M2,11,larrea,2.7213
2019,July,summer,06-Jul-19,Mojave,M2,11,open,0.4568
2019,July,summer,07-Jul-19,Mojave,M2,11,ephedra,1.7677
2019,July,summer,06-Jul-19,Mojave,M2,12,larrea,1.3665
2019,July,summer,06-Jul-19,Mojave,M2,12,open,0.0001
2019,July,summer,07-Jul-19,Mojave,M2,12,ephedra,0.8416
2019,July,summer,06-Jul-19,Mojave,M2,13,larrea,3.0386
2019,July,summer,06-Jul-19,Mojave,M2,13,open,0.2047
2019,July,summer,07-Jul-19,Mojave,M2,13,ephedra,0.6451
2019,July,summer,07-Jul-19,Mojave,M2,14,ephedra,0.3475
2019,July,summer,07-Jul-19,Mojave,M2,14,larrea,0.1926
2019,July,summer,07-Jul-19,Mojave,M2,14,open,0.0872
2019,July,summer,06-Jul-19,Mojave,M2,15,larrea,5.6184
2019,July,summer,06-Jul-19,Mojave,M2,15,open,0
2019,July,summer,07-Jul-19,Mojave,M2,15,ephedra,2.0914
2019,July,summer,06-Jul-19,Mojave,M2,16,larrea,2.0947
2019,July,summer,07-Jul-19,Mojave,M2,16,ephedra,3.1928
2019,July,summer,07-Jul-19,Mojave,M2,16,open,0.0448
2019,July,summer,06-Jul-19,Mojave,M2,17,larrea,3.2979
2019,July,summer,07-Jul-19,Mojave,M2,17,ephedra,3.4664
2019,July,summer,07-Jul-19,Mojave,M2,17,open,0
2019,July,summer,08-Jul-19,Mojave,M2,18,ephedra,0.8202
2019,July,summer,08-Jul-19,Mojave,M2,18,larrea,0.5234
2019,July,summer,08-Jul-19,Mojave,M2,18,open,0.3986
2019,July,summer,06-Jul-19,Mojave,M2,19,larrea,1.3883
2019,July,summer,07-Jul-19,Mojave,M2,19,ephedra,3.0165
2019,July,summer,07-Jul-19,Mojave,M2,19,open,0.2375
2019,July,summer,06-Jul-19,Mojave,M2,20,larrea,3.5251
2019,July,summer,07-Jul-19,Mojave,M2,20,ephedra,2.6693
2019,July,summer,07-Jul-19,Mojave,M2,20,open,0.107
